,State,Year,Total,Male,Female,Causes_Bankruptcy or Sudden change in Economic Status,Causes_Cancellation/Non-Settlement of Marriage,Causes_Cancer,Causes_Causes Not known,Causes_Death of Dear Person,Causes_Divorce,Causes_Dowry Dispute,Causes_Drug Abuse/Addiction,Causes_Failure in Examination,Causes_Fall in Social Reputation,Causes_Family Problems,Causes_Ideological Causes/Hero Worshipping,Causes_Illegitimate Pregnancy,Causes_Illness (Aids/STD),Causes_Insanity/Mental Illness,Causes_Love Affairs,Causes_Not having Children (Barrenness/Impotency,Causes_Other Causes (Please Specity),Causes_Other Prolonged Illness,Causes_Paralysis,Causes_Physical Abuse (Rape/Incest Etc.),Causes_Poverty,Causes_Professional/Career Problem,Causes_Property Dispute,Causes_Suspected/Illicit Relation,Causes_Unemployment,Education_Status_Diploma,Education_Status_Graduate,Education_Status_Hr. Secondary/Intermediate/Pre-Universit,Education_Status_Matriculate/Secondary,Education_Status_Middle,Education_Status_No Education,Education_Status_Post Graduate and Above,Education_Status_Primary,Means_adopted_By Consuming Insecticides,Means_adopted_By Consuming Other Poison,Means_adopted_By Drowning,Means_adopted_By Fire-Arms,Means_adopted_By Fire/Self Immolation,Means_adopted_By Hanging,Means_adopted_By Jumping from (Building),Means_adopted_By Jumping from (Other sites),Means_adopted_By Jumping off Moving Vehicles/Trains,Means_adopted_By Machine,Means_adopted_By Other means,Means_adopted_By Other means (please specify),Means_adopted_By Over Alcoholism,Means_adopted_By Overdose of sleeping pills,Means_adopted_By Self Infliction of injury,Means_adopted_By coming under running vehicles/trains,Means_adopted_By touching electric wires,Professional_Profile_Farming/Agriculture Activity,Professional_Profile_House Wife,Professional_Profile_Others (Please Specify),Professional_Profile_Professional Activity,Professional_Profile_Public Sector Undertaking,Professional_Profile_Retired Person,Professional_Profile_Self-employed (Business activity),Professional_Profile_Service (Government),Professional_Profile_Service (Private),Professional_Profile_Student,Professional_Profile_Unemployed,Social_Status_Divorcee,Social_Status_Married,Social_Status_Never Married,Social_Status_Seperated,Social_Status_Widowed/Widower,Total_Causes,Total_Education_Status,Total_Means_adopted,Total_Professional_Profile,Total_Social_Status
84,D & N Haveli,2001,50.0,35.0,15.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0,0,0,7,5,25,0,13,0.0,12.0,0.0,0.0,1.0,35.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,19.0,13.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,8.0,0,40,10,0,0,50.0,50.0,50.0,50.0,50.0
85,D & N Haveli,2002,50.0,32.0,18.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,3.0,5.0,0.0,0.0,0.0,6.0,2.0,1.0,19.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3,2,21,0,24,3.0,15.0,0.0,0.0,1.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,15.0,5.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,0,38,11,0,1,50.0,50.0,50.0,50.0,50.0
86,D & N Haveli,2003,52.0,30.0,22.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,0.0,1.0,1.0,24.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,15,2,33,0,2,0.0,18.0,0.0,0.0,0.0,29.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,23.0,21.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,1,38,10,1,2,52.0,52.0,52.0,52.0,52.0
87,D & N Haveli,2004,39.0,20.0,19.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0,0.0,2.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,4,2,2,22,0,9,0.0,11.0,0.0,0.0,5.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,16.0,5.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,3.0,0,33,6,0,0,39.0,39.0,39.0,39.0,39.0
88,D & N Haveli,2005,69.0,41.0,28.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,12.0,0.0,0.0,1.0,10.0,2.0,0.0,26.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,3,15,13,30,0,8,5.0,16.0,1.0,0.0,5.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,22.0,25.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,2.0,0,60,8,0,1,69.0,69.0,69.0,69.0,69.0
89,D & N Haveli,2006,42.0,23.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,11.0,0.0,0.0,0.0,2.0,2.0,0.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,3,5,31,0,2,0.0,6.0,0.0,0.0,1.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,7.0,0,26,15,1,0,42.0,42.0,42.0,42.0,42.0
90,D & N Haveli,2007,76.0,44.0,32.0,1.0,1.0,1.0,12.0,0.0,0.0,0.0,5.0,0.0,1.0,32.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,6.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0,1,4,6,8,46,0,11,0.0,18.0,0.0,0.0,3.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,28.0,2.0,0.0,0.0,5.0,2.0,0.0,8.0,7.0,7.0,0,65,10,1,0,76.0,76.0,76.0,76.0,76.0
91,D & N Haveli,2008,60.0,32.0,28.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,0.0,0.0,19.0,0.0,0.0,0.0,13.0,1.0,4.0,6.0,2.0,0.0,0.0,1.0,1.0,1.0,4.0,1.0,1,3,1,4,7,23,0,21,6.0,7.0,5.0,0.0,3.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,23.0,5.0,0.0,0.0,0.0,1.0,1.0,17.0,1.0,0.0,0,46,14,0,0,60.0,60.0,60.0,60.0,60.0
92,D & N Haveli,2009,56.0,30.0,26.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,3.0,7.0,5.0,10.0,5.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,1,0,4,4,15,17,0,15,8.0,2.0,0.0,0.0,6.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,19.0,2.0,0.0,0.0,0.0,1.0,1.0,12.0,6.0,0.0,1,40,11,0,4,56.0,56.0,56.0,56.0,56.0
93,D & N Haveli,2010,63.0,37.0,26.0,0.0,2.0,0.0,11.0,3.0,0.0,0.0,6.0,0.0,2.0,14.0,0.0,0.0,0.0,12.0,3.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,2,2,3,10,23,0,23,3.0,10.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,23.0,14.0,0.0,0.0,0.0,0.0,1.0,12.0,3.0,0.0,1,41,20,0,1,63.0,63.0,63.0,63.0,63.0
94,D & N Haveli,2011,63.0,41.0,22.0,0.0,2.0,0.0,9.0,1.0,0.0,0.0,11.0,0.0,1.0,10.0,0.0,0.0,0.0,4.0,8.0,0.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,4,7,8,22,0,22,1.0,6.0,0.0,0.0,7.0,47.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,12.0,5.0,0.0,0.0,0.0,2.0,0.0,25.0,6.0,0.0,0,37,22,2,2,63.0,63.0,63.0,63.0,63.0
95,D & N Haveli,2012,66.0,41.0,25.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,2.0,19.0,0.0,0.0,0.0,3.0,8.0,0.0,6.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,4,6,14,17,0,23,0.0,5.0,1.0,0.0,2.0,44.0,0.0,2.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,6.0,13.0,6.0,0.0,0.0,0.0,3.0,0.0,28.0,6.0,4.0,1,44,20,1,0,66.0,66.0,66.0,66.0,66.0
